"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_GOV","pct_D_24_PRES","pct_R_20_PRES","pct_R_22_GOV","pct_R_24_PRES","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",1,165065,19858,1964,2521,4134,130,194207,0.84994361686242,0.102251721101711,0.0101129207495095,0.0129809945058623,0.0219559542138028,"CVAP",22,0.342994926460531,0.648813610231896,"R",30.6,30.6,0.349644054181325,0.363559164395416,0.329388243632692,0.635785712307138,0.636432748065056,0.661517990277694,22291,2,29
"House",2,121652,29750,9693,5692,3819,134,171478,0.709432113740538,0.173491643242865,0.0565262016118686,0.0331937624651559,0.0230525198567746,"CVAP",22,0.480204486956343,0.5087208315777,"R",2.9,2.9,0.480370269053943,0.507144162251051,0.466651758260189,0.50174280596172,0.489067543699373,0.522036488324854,21904,15,16
"House",3,161274,10820,3526,6772,1951,54,184893,0.872255845272671,0.0585203333820101,0.019070489418204,0.0366265894328071,0.0108441098365,"CVAP",22,0.384146239312865,0.609395743304963,"R",22.5,22.5,0.387907364275029,0.400692968066089,0.373992312455171,0.602940155402804,0.596739666168887,0.618951575824082,21898,6,25
"House",4,153061,17335,4745,8521,1793,646,186461,0.820874070180896,0.0929685027968315,0.025447680748253,0.0456985643110355,0.0130804833182274,"CVAP",22,0.492949794235457,0.498621613432727,"R",0.6,0.6,0.498471084953941,0.518046148180173,0.477640971903858,0.489675025588536,0.47886342892828,0.512973999607047,23883,16,15
"House",5,98391,46455,12520,6264,5907,348,170361,0.577544156232941,0.272685649884657,0.0734909985266581,0.036768978815574,0.0367161498230229,"CVAP",22,0.690493478267555,0.297975084644604,"D",39.3,-39.3,0.690856115891515,0.720138778212311,0.675489509483197,0.293423011291435,0.276318209123564,0.311079559081708,23022,28,3
"House",6,46511,13560,1852,984,98541,169,161326,0.288304427060734,0.0840534073862862,0.0114798606548232,0.00609945080148271,0.611866655095893,"CVAP",22,0.648975175185578,0.339762549731098,"D",30.9,-30.9,0.657378657378657,0.679744092721515,0.62938897532107,0.326232326232326,0.317281433901304,0.357768219395381,20754,26,5
"House",7,147315,32637,4223,3184,8331,232,196648,0.749130425938733,0.165966600219682,0.0214749196533908,0.0161913673162198,0.0435448110329116,"CVAP",22,0.358788034634623,0.631985587694791,"R",27.3,27.3,0.366054211084305,0.37722416385379,0.345936881800198,0.618694225776561,0.619559697702901,0.644844213649852,20172,5,26
"House",8,118745,38466,14934,8148,7541,598,189054,0.628100965861606,0.203465676473389,0.0789933035005871,0.0430987971690628,0.0430511917229998,"CVAP",22,0.615734085875345,0.371012197193493,"D",24.5,-24.5,0.633825944170772,0.646628026496117,0.591241186417245,0.345658263305322,0.349289058931019,0.394550733268816,25438,22,9
"House",9,98431,40472,11313,4056,5733,316,160852,0.611935195086166,0.251610175813792,0.0703317335190113,0.0252157262576779,0.0376059980603288,"CVAP",22,0.517424117301039,0.467869870045911,"D",5,-5,0.517219551969788,0.537412724562642,0.507532096335864,0.459027122135439,0.457644936063387,0.477403710992409,24230,18,13
"House",10,140750,23740,6039,4866,2666,215,178604,0.788056258538443,0.132919755436608,0.0338122326487649,0.0272446305793823,0.0161306577680231,"CVAP",22,0.3972999885569,0.592495580545586,"R",19.5,19.5,0.389769410753115,0.4183394893207,0.390545527076892,0.593694967383486,0.577324554360045,0.599481400219408,10680,9,22
"House",11,36830,69771,27380,4413,3891,333,142712,0.258072201356578,0.488893716015472,0.191854924603397,0.0309224171758507,0.029598071640787,"CVAP",22,0.720089249265534,0.267378782463873,"D",45.3,-45.3,0.750208512440173,0.747557871055592,0.691295306783186,0.233598090667625,0.249146488267914,0.293385275459977,24234,29,2
"House",12,119809,29734,11678,12163,4180,333,178100,0.67270634475014,0.166951151038742,0.0655699045480067,0.0682930937675463,0.0253396967995508,"CVAP",22,0.58388792208508,0.404048577204171,"D",18,-18,0.584684869636625,0.606530198266026,0.572168310218835,0.398532128926299,0.390066218707029,0.413797980591679,24233,20,11
"House",13,109544,27871,9955,14988,3097,188,166227,0.659002448459035,0.16766830899914,0.0598879845031192,0.0901658575321699,0.0197621325055496,"CVAP",22,0.499978495920294,0.488864235702142,"D",1.1,-1.1,0.50720607630337,0.517795179838769,0.487456363769519,0.478000413137781,0.478913105009907,0.499271712330439,16649,17,14
"House",14,118456,24166,6889,9382,1941,134,161707,0.732534769676019,0.149443128621519,0.0426017426580173,0.0580185149684306,0.012831850198198,"CVAP",22,0.414255052290536,0.575597413875292,"R",16.1,16.1,0.416565724712124,0.434342323609973,0.403056080420024,0.567380671276775,0.563018573684947,0.585995205269722,4260,10,21
"House",15,118468,29905,7835,5279,3103,318,165619,0.715304403480277,0.180565031789831,0.0473073741539316,0.0318743622410472,0.0206558426267518,"CVAP",22,0.353057295415896,0.637341250349983,"R",28.4,28.4,0.35619142821442,0.371036810902612,0.342500471273276,0.627722937231871,0.626108338456088,0.647766862855986,23050,3,28
