"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_party_independence","rank_independent_all","rank_independent_R","rank_independent_D","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_GOV","pct_D_24_PRES","pct_R_20_PRES","pct_R_22_GOV","pct_R_24_PRES","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
16506,"R","Mark Finchem","Finchem","http://ballotpedia.org/Mark_Finchem",1,"Senate",NA,"partisan_cross",0.992202729044834,513,509,398,4,25,13,1,0.0136842105263158,13,6,NA,8,NA,165065,19858,1964,2521,4134,130,194207,0.84994361686242,0.102251721101711,0.0101129207495095,0.0129809945058623,0.0219559542138028,"CVAP",22,0.342994926460531,0.648813610231896,"R",30.6,30.6,0.349644054181325,0.363559164395416,0.329388243632692,0.635785712307138,0.636432748065056,0.661517990277694,16506,2,29
20749,"R","Shawnna Bolick","Bolick","http://ballotpedia.org/Shawnna_Bolick",2,"Senate",NA,"partisan_cross",0.980769230769231,520,510,427,10,14,11,5,0.0112589559877175,18,8,NA,13,NA,121652,29750,9693,5692,3819,134,171478,0.709432113740538,0.173491643242865,0.0565262016118686,0.0331937624651559,0.0230525198567746,"CVAP",22,0.480204486956343,0.5087208315777,"R",2.9,2.9,0.480370269053943,0.507144162251051,0.466651758260189,0.50174280596172,0.489067543699373,0.522036488324854,20749,15,16
4262,"R","John Kavanagh","Kavanagh","http://ballotpedia.org/John_Kavanagh",3,"Senate",NA,"partisan_cross",0.992233009708738,515,511,409,4,45,5,1,0.00512820512820513,27,15,NA,7,NA,161274,10820,3526,6772,1951,54,184893,0.872255845272671,0.0585203333820101,0.019070489418204,0.0366265894328071,0.0108441098365,"CVAP",22,0.384146239312865,0.609395743304963,"R",22.5,22.5,0.387907364275029,0.400692968066089,0.373992312455171,0.602940155402804,0.596739666168887,0.618951575824082,4262,6,25
25452,"R","Carine Werner","Werner","http://ballotpedia.org/Carine_Werner",4,"Senate",NA,"partisan_cross",0.992015968063872,501,497,497,4,11,12,0,0.0117531831537708,17,7,NA,9,NA,153061,17335,4745,8521,1793,646,186461,0.820874070180896,0.0929685027968315,0.025447680748253,0.0456985643110355,0.0130804833182274,"CVAP",22,0.492949794235457,0.498621613432727,"R",0.6,0.6,0.498471084953941,0.518046148180173,0.477640971903858,0.489675025588536,0.47886342892828,0.512973999607047,25452,16,15
10699,"D","Lela Alston","Alston","http://ballotpedia.org/Lela_Alston",5,"Senate",NA,"partisan_cross",0.983213429256595,417,410,400,7,80,12,12,0.0130293159609121,14,NA,8,NA,3,98391,46455,12520,6264,5907,348,170361,0.577544156232941,0.272685649884657,0.0734909985266581,0.036768978815574,0.0367161498230229,"CVAP",22,0.690493478267555,0.297975084644604,"D",39.3,-39.3,0.690856115891515,0.720138778212311,0.675489509483197,0.293423011291435,0.276318209123564,0.311079559081708,10699,28,3
23027,"D","Theresa Hatathlie","Hatathlie","http://ballotpedia.org/Theresa_Hatathlie",6,"Senate",NA,"partisan_cross",0.977272727272727,440,430,306,10,107,37,6,0.0412946428571429,7,NA,4,NA,6,46511,13560,1852,984,98541,169,161326,0.288304427060734,0.0840534073862862,0.0114798606548232,0.00609945080148271,0.611866655095893,"CVAP",22,0.648975175185578,0.339762549731098,"D",30.9,-30.9,0.657378657378657,0.679744092721515,0.62938897532107,0.326232326232326,0.317281433901304,0.357768219395381,23027,26,5
21903,"R","Wendy Rogers","Rogers","http://ballotpedia.org/Wendy_Rogers",7,"Senate",NA,"partisan_cross",0.990439770554493,523,518,369,5,4,10,1,0.0110253583241455,20,9,NA,10,NA,147315,32637,4223,3184,8331,232,196648,0.749130425938733,0.165966600219682,0.0214749196533908,0.0161913673162198,0.0435448110329116,"CVAP",22,0.358788034634623,0.631985587694791,"R",27.3,27.3,0.366054211084305,0.37722416385379,0.345936881800198,0.618694225776561,0.619559697702901,0.644844213649852,21903,5,26
25451,"D","Lauren Kuby","Kuby","http://ballotpedia.org/Lauren_Kuby",8,"Senate",NA,"partisan_cross",0.981916817359855,553,543,436,10,1,15,14,0.014720314033366,12,NA,7,NA,4,118745,38466,14934,8148,7541,598,189054,0.628100965861606,0.203465676473389,0.0789933035005871,0.0430987971690628,0.0430511917229998,"CVAP",22,0.615734085875345,0.371012197193493,"D",24.5,-24.5,0.633825944170772,0.646628026496117,0.591241186417245,0.345658263305322,0.349289058931019,0.394550733268816,25451,22,9
24183,"D","Eva Burch","Burch","http://ballotpedia.org/Eva_Burch",9,"Senate",NA,"partisan_cross",0.917647058823529,85,78,126,7,305,2,2,0.00384615384615385,28,NA,13,NA,12,98431,40472,11313,4056,5733,316,160852,0.611935195086166,0.251610175813792,0.0703317335190113,0.0252157262576779,0.0376059980603288,"CVAP",22,0.517424117301039,0.467869870045911,"D",5,-5,0.517219551969788,0.537412724562642,0.507532096335864,0.459027122135439,0.457644936063387,0.477403710992409,24183,18,13
11744,"R","David Farnsworth","Farnsworth","http://ballotpedia.org/David_Farnsworth",10,"Senate",NA,"partisan_cross",0.968253968253968,567,549,387,18,0,78,2,0.0754352030947776,2,2,NA,15,NA,140750,23740,6039,4866,2666,215,178604,0.788056258538443,0.132919755436608,0.0338122326487649,0.0272446305793823,0.0161306577680231,"CVAP",22,0.3972999885569,0.592495580545586,"R",19.5,19.5,0.389769410753115,0.4183394893207,0.390545527076892,0.593694967383486,0.577324554360045,0.599481400219408,11744,9,22
4343,"D","Catherine Miranda","Miranda","http://ballotpedia.org/Catherine_Miranda",11,"Senate",NA,"partisan_cross",0.939784946236559,465,437,355,28,43,11,5,0.012514220705347,15,NA,9,NA,11,36830,69771,27380,4413,3891,333,142712,0.258072201356578,0.488893716015472,0.191854924603397,0.0309224171758507,0.029598071640787,"CVAP",22,0.720089249265534,0.267378782463873,"D",45.3,-45.3,0.750208512440173,0.747557871055592,0.691295306783186,0.233598090667625,0.249146488267914,0.293385275459977,4343,29,2
18569,"D","Denise Epstein","Epstein","http://ballotpedia.org/Mitzi_Epstein",12,"Senate",NA,"partisan_cross",0.974358974358974,468,456,414,12,36,55,14,0.0557244174265451,4,NA,1,NA,7,119809,29734,11678,12163,4180,333,178100,0.67270634475014,0.166951151038742,0.0655699045480067,0.0682930937675463,0.0253396967995508,"CVAP",22,0.58388792208508,0.404048577204171,"D",18,-18,0.584684869636625,0.606530198266026,0.572168310218835,0.398532128926299,0.390066218707029,0.413797980591679,18569,20,11
10696,"R","Javan Mesnard","Mesnard","http://ballotpedia.org/J.D._Mesnard",13,"Senate",NA,"partisan_cross",0.995841995841996,481,479,403,2,18,14,3,0.015233949945593,10,5,NA,1,NA,109544,27871,9955,14988,3097,188,166227,0.659002448459035,0.16766830899914,0.0598879845031192,0.0901658575321699,0.0197621325055496,"CVAP",22,0.499978495920294,0.488864235702142,"D",1.1,-1.1,0.50720607630337,0.517795179838769,0.487456363769519,0.478000413137781,0.478913105009907,0.499271712330439,10696,17,14
14707,"R","Warren Petersen","Petersen","http://ballotpedia.org/Warren_Petersen",14,"Senate",NA,"partisan_cross",0.992610837438424,406,403,266,3,2,48,0,0.0664819944598338,3,3,NA,6,NA,118456,24166,6889,9382,1941,134,161707,0.732534769676019,0.149443128621519,0.0426017426580173,0.0580185149684306,0.012831850198198,"CVAP",22,0.414255052290536,0.575597413875292,"R",16.1,16.1,0.416565724712124,0.434342323609973,0.403056080420024,0.567380671276775,0.563018573684947,0.585995205269722,14707,10,21
21899,"R","Jake Hoffman","Hoffman","http://ballotpedia.org/Jake_Hoffman",15,"Senate",NA,"partisan_cross",0.848072562358277,441,374,186,67,25,167,5,0.202669902912621,1,1,NA,17,NA,118468,29905,7835,5279,3103,318,165619,0.715304403480277,0.180565031789831,0.0473073741539316,0.0318743622410472,0.0206558426267518,"CVAP",22,0.353057295415896,0.637341250349983,"R",28.4,28.4,0.35619142821442,0.371036810902612,0.342500471273276,0.627722937231871,0.626108338456088,0.647766862855986,21899,3,28
14709,"R","Thomas Shope","Shope","http://ballotpedia.org/T.J._Shope",16,"Senate",NA,"partisan_cross",0.993963782696177,497,494,463,3,11,2,2,0.00205128205128205,30,17,NA,3,NA,90179,54623,11508,2902,13928,1014,174747,0.516054638992372,0.312583334763973,0.0658552078147264,0.0166068659261675,0.0855064750753947,"CVAP",22,0.462173164647064,0.528319673759211,"R",6.6,6.6,0.472933273070918,0.479813602217491,0.447972891649925,0.511987427068781,0.517012814847547,0.542139226560258,14709,13,18
16652,"R","Vince Leach","Leach","http://ballotpedia.org/Vince_Leach",17,"Senate",NA,"partisan_cross",0.983402489626556,482,474,466,8,18,7,3,0.00717213114754098,25,13,NA,11,NA,136452,33310,5768,5818,1764,215,183899,0.741994246842017,0.181132034431944,0.0313650427680412,0.0316369311415505,0.0107613418235009,"CVAP",22,0.480621366394366,0.510191349799007,"R",3,3,0.471304999866099,0.500127331762908,0.475526566974228,0.51425376931523,0.497532947093653,0.514489341393573,16652,14,17
24253,"D","Priya Sundareshan","Sundareshan","http://ballotpedia.org/Priya_Sundareshan",18,"Senate",NA,"partisan_cross",0.988713318284424,443,438,288,5,83,27,8,0.0318021201413428,8,NA,5,NA,1,131868,38363,8305,7785,3562,255,190364,0.692715009140384,0.201524447899813,0.0436269462713538,0.0408953373537013,0.0200510600743838,"CVAP",22,0.62026219535224,0.369155519409714,"D",25.1,-25.1,0.612577118735794,0.641266632059233,0.613602515306967,0.37314283652632,0.356183346538801,0.373647947286868,24253,23,8
4233,"R","David Gowan","Gowan","http://ballotpedia.org/David_Gowan",19,"Senate",NA,"partisan_cross",0.993119266055046,436,433,386,3,50,5,0,0.00570125427594071,26,14,NA,5,NA,114751,45481,6464,3673,2809,419,174057,0.659272537157368,0.261299459372504,0.0371372596333385,0.0211022825855898,0.0185456488391734,"CVAP",22,0.389839174512623,0.600207253986004,"R",21,21,0.382830983148706,0.416508729763783,0.380008492569002,0.600838721249028,0.580219594058043,0.609885350318471,4233,8,23
10704,"D","Sally Gonzales","Gonzales","http://ballotpedia.org/Sally_Ann_Gonzales",20,"Senate",NA,"partisan_cross",0.987421383647799,318,314,293,4,131,36,6,0.0459183673469388,6,NA,3,NA,2,73693,81807,5919,5342,6703,264,174075,0.423340514146201,0.469952606635071,0.0340025850926325,0.030687921872756,0.0400229786011777,"CVAP",22,0.732980801108734,0.255429174423414,"D",47.8,-47.8,0.74568685248602,0.768415790492163,0.708910280728376,0.239769820971867,0.228504160485067,0.276721358118361,10704,30,1
